Rep;Time;SizePop;PercentOffspringDead;propDeath;propDeathExtrinsic;propDeathMutation;LifeSpan0025;LifeSpan05;LifeSpan0975;LifeSpanMin;LifeSpanMax;Damage0025;Damage05;Damage0975;DamageMin;DamageMax
0;0;434.862;0.353905;0.080003;1;0;0;8;44;0;158;0;8;44;0;158
0;12000;294.691;0.133333;0.104194;0.767551;0.232449;0;8;18;0;18;0;8;18;0;18
0;24000;300.658;0.139544;0.103996;0.767828;0.232172;0;8;18;0;18;0;8;18;0;18
0;36000;302.802;0.139779;0.103736;0.770746;0.229254;0;8;18;0;18;0;8;18;0;18
0;48000;299.697;0.137708;0.103976;0.768555;0.231445;0;8;18;0;18;0;8;18;0;18
0;60000;277.039;0.119487;0.105817;0.752725;0.247275;0;8;17;0;17;0;8;17;0;17
0;72000;275.259;0.117596;0.105961;0.753063;0.246937;0;8;17;0;17;0;8;17;0;17
0;84000;278.171;0.119045;0.10609;0.754123;0.245877;0;8;17;0;17;0;8;17;0;17
0;96000;271.454;0.115409;0.106021;0.755821;0.244179;0;7;17;0;17;0;7;17;0;17
0;108000;266.953;0.112232;0.106407;0.752611;0.247389;0;7;17;0;17;0;7;17;0;17
0;120000;272.767;0.117042;0.106162;0.753459;0.246541;0;7;17;0;17;0;7;17;0;17
0;128745;168.161;0.057681;0.112003;0.717368;0.282632;0;7;15;0;15;0;7;15;0;15
0;133822;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
