BirthRatePerYear;MortRatePerYear;RateAccumul;Time;SizePop;ExtStatus;PercentOffspringDead;propDeath;propDeathExtrinsic;propDeathMutation;LifeSpan0025;LifeSpan05;LifeSpan0975;LifeSpanMin;LifeSpanMax;Damage0025;Damage05;Damage0975;DamageMin;DamageMax
0.1;0.1;NA;2711;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;0.1;1;1701;3.0754;ext;0;0.00431244;0.0902256;0.909774;9.95;405;1094;3;1094;9.95;405;1094;3;1094
1.05;0.1;1;2722;4.0859;ext;0.00925926;0.00422745;0.0751445;0.924855;15.825;283;818;6;818;15.825;283;818;6;818
1.525;0.1;1;4637;4.9377;ext;0.016129;0.00546271;0.0518519;0.948148;12;251;670;1;670;12;251;670;1;670
2;0.1;1;15850;4.5525;ext;0.00413223;0.00686554;0.0351438;0.964856;10;186;266;0;266;10;186;266;0;266
0.1;0.575;NA;2487;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;0.575;NA;17969;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;0.575;1;1497;2.8603;ext;0.0123457;0.0058557;0.297619;0.702381;8.4;405.5;943;4;943;8.4;405.5;943;4;943
1.525;0.575;1;2586;5.7775;ext;0.0173913;0.00485924;0.323843;0.676157;8.525;231;826;0;826;8.525;231;826;0;826
2;0.575;1;4267;7.7199;ext;0.0102041;0.00665338;0.22179;0.77821;8;166;342;0;342;8;166;342;0;342
0.1;1.05;NA;1096;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;1.05;NA;2251;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;1.05;NA;7757;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;1.05;1;1636;2.4781;ext;0.00892857;0.00812191;0.440594;0.559406;10.2;190;1094;1;1094;10.2;190;1094;1;1094
2;1.05;1;2105;2.9126;ext;0.0138889;0.00749949;0.347032;0.652968;7.975;180;580;1;580;7.975;180;580;1;580
0.1;1.525;NA;991;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;1.525;NA;1595;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;1.525;NA;2071;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;1.525;NA;6391;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.525;1;1381;2.402;ext;0.00434783;0.00854417;0.456311;0.543689;12.95;176;460;2;460;12.95;176;460;2;460
0.1;2;NA;964;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;2;NA;911;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;2;NA;1211;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;2;NA;2811;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2;NA;6486;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
