BirthRatePerYear;MortRatePerYear;RateAccumul;Time;SizePop;ExtStatus;PercentOffspringDead;propDeath;propDeathExtrinsic;propDeathMutation;LifeSpan0025;LifeSpan05;LifeSpan0975;LifeSpanMin;LifeSpanMax;Damage0025;Damage05;Damage0975;DamageMin;DamageMax
0.1;0.1;NA;2650;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;0.1;1;244048;36.6185;ext;0.0967522;0.0394699;0.214904;0.785096;2;29;29;0;29;2;29;29;0;29
1.05;0.1;1;808520;48.3944;ext;0.12613;0.0680328;0.123058;0.876942;2;15;15;0;15;2;15;15;0;15
1.525;0.1;1;1200001;84.624;no ext;0.318296;0.0771355;0.108537;0.891463;2;13;13;0;13;2;13;13;0;13
2;0.1;1;1200001;93.8515;no ext;0.543057;0.0681797;0.120485;0.879515;2;15;15;0;15;2;15;15;0;15
0.1;0.575;NA;104;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;0.575;NA;924;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;0.575;1;28384;56.0596;ext;0.181978;0.0649176;0.722748;0.277252;0;13;30;0;30;0;13;30;0;30
1.525;0.575;1;187244;18.598;ext;0.0954593;0.103043;0.452244;0.547756;0;12;12;0;12;0;12;12;0;12
2;0.575;1;437891;43.6726;ext;0.149834;0.124557;0.37704;0.62296;0;9;9;0;9;0;9;9;0;9
0.1;1.05;NA;57;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;1.05;NA;145;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;1.05;NA;850;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;1.05;1;11627;2.9937;ext;0.0354729;0.114497;0.738511;0.261489;0;7;16;0;16;0;7;16;0;16
2;1.05;1;36780;44.8852;ext;0.131839;0.131499;0.639724;0.360276;0;7;11;0;11;0;7;11;0;11
0.1;1.525;NA;29;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;1.525;NA;50;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;1.525;NA;70;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;1.525;NA;214;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.525;1;3676;25.7779;ext;0.110696;0.138674;0.865155;0.134845;0;5;16;0;16;0;5;16;0;16
0.1;2;NA;43;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;2;NA;55;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;2;NA;80;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;2;NA;109;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2;NA;429;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
